seq	term
c460768_g1	"Replication, recombination and repair"
c394393_g1	"NA"
c443935_g1	"Energy production and conversion"
c468388_g1	"Cell wall/membrane/envelope biogenesis"
c467244_g4	"Replication, recombination and repair"
c475400_g2	"NA"
c477418_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c440909_g1	"Inorganic ion transport and metabolism"
c480405_g2	"Replication, recombination and repair"
c471868_g3	"Transcription"
c442905_g1	"Inorganic ion transport and metabolism"
c446197_g1	"Signal transduction mechanisms"
c474790_g4	"Posttranslational modification, protein turnover, chaperones"
c456675_g1	"Transcription"
c471457_g1	"Transcription"
c472234_g1	"Transcription"
c479355_g2	"Nucleotide transport and metabolism"
c458693_g1	"Amino acid transport and metabolism"
c475815_g1	"Carbohydrate transport and metabolism"
c364235_g1	"Signal transduction mechanisms"
c421982_g2	"Replication, recombination and repair"
c471640_g1	"Translation, ribosomal structure and biogenesis"
c460765_g1	"Replication, recombination and repair"
c291314_g1	"Replication, recombination and repair"
c471150_g7	"Lipid transport and metabolism"
c479518_g1	"Extracellular structures"
c454220_g2	"Lipid transport and metabolism"
c458221_g4	"Lipid transport and metabolism"
c479386_g1	"Posttranslational modification, protein turnover, chaperones"
c431864_g1	"RNA processing and modification"
c480036_g3	"Nucleotide transport and metabolism"
c477765_g2	"Lipid transport and metabolism"
c477528_g8	"RNA processing and modification"
c474071_g1	"Signal transduction mechanisms"
c479152_g3	"Lipid transport and metabolism"
c475591_g2	"Cell cycle control, cell division, chromosome partitioning"
c449237_g1	"Nucleotide transport and metabolism"
c478672_g1	"Replication, recombination and repair"
c470172_g3	"Replication, recombination and repair"
c457053_g1	"Intracellular trafficking, secretion, and vesicular transport"
c478715_g2	"Signal transduction mechanisms"
c477853_g5	"NA"
c478714_g2	"Signal transduction mechanisms"
c462303_g2	"Transcription"
c447272_g1	"Cell cycle control, cell division, chromosome partitioning"
c461533_g1	"Signal transduction mechanisms"
c442334_g1	"Intracellular trafficking, secretion, and vesicular transport"
c463593_g1	"Energy production and conversion"
c470339_g5	"Translation, ribosomal structure and biogenesis"
c480928_g1	"Energy production and conversion"
c473877_g1	"NA"
c451646_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476206_g1	"NA"
c480993_g1	"Carbohydrate transport and metabolism"
c467226_g1	"Replication, recombination and repair"
c462708_g1	"RNA processing and modification"
c473803_g1	"Translation, ribosomal structure and biogenesis"
c461667_g13	"Amino acid transport and metabolism"
c466852_g1	"Signal transduction mechanisms"
c454904_g1	"Replication, recombination and repair"
c467910_g1	"Signal transduction mechanisms"
c468643_g1	"Posttranslational modification, protein turnover, chaperones"
c449905_g1	"Replication, recombination and repair"
c474084_g6	"Posttranslational modification, protein turnover, chaperones"
c411968_g1	"Posttranslational modification, protein turnover, chaperones"
c404436_g1	"Signal transduction mechanisms"
c447666_g1	"Lipid transport and metabolism"
c469540_g1	"Signal transduction mechanisms"
c457513_g1	"RNA processing and modification"
c464085_g1	"Signal transduction mechanisms"
c478183_g1	"Posttranslational modification, protein turnover, chaperones"
c447261_g1	"Signal transduction mechanisms"
c208404_g1	"Intracellular trafficking, secretion, and vesicular transport"
c465256_g2	"Signal transduction mechanisms"
c468951_g1	"NA"
c462851_g1	"Translation, ribosomal structure and biogenesis"
c82829_g1	"Intracellular trafficking, secretion, and vesicular transport"
c456702_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476706_g3	"Translation, ribosomal structure and biogenesis"
c479933_g3	"Inorganic ion transport and metabolism"
c462339_g1	"NA"
c460695_g1	"NA"
c477112_g1	"Lipid transport and metabolism"
c465883_g2	"Posttranslational modification, protein turnover, chaperones"
c472253_g1	"Replication, recombination and repair"
c411895_g1	"Energy production and conversion"
c467407_g1	"Signal transduction mechanisms"
c479065_g2	"NA"
c411493_g1	"Transcription"
c477453_g2	"Inorganic ion transport and metabolism"
c468832_g1	"Transcription"
c478554_g11	"Secondary metabolites biosynthesis, transport and catabolism"
c477398_g1	"Replication, recombination and repair"
c291672_g1	"Translation, ribosomal structure and biogenesis"
c474158_g12	"NA"
c474793_g1	"Extracellular structures"
c479831_g5	"Transcription"
c476955_g3	"RNA processing and modification"
c480549_g2	"Replication, recombination and repair"
c445604_g2	"Extracellular structures"
c466662_g2	"Amino acid transport and metabolism"
c443386_g1	"Intracellular trafficking, secretion, and vesicular transport"
c474705_g8	"Posttranslational modification, protein turnover, chaperones"
c461493_g1	"RNA processing and modification"
c469308_g6	"Posttranslational modification, protein turnover, chaperones"
c447689_g1	"Signal transduction mechanisms"
c468845_g1	"Chromatin structure and dynamics"
c390259_g1	"Translation, ribosomal structure and biogenesis"
c14124_g1	"Signal transduction mechanisms"
c477603_g1	"Signal transduction mechanisms"
c471581_g1	"Chromatin structure and dynamics"
c476781_g1	"Cell cycle control, cell division, chromosome partitioning"
c463145_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c472821_g1	"Replication, recombination and repair"
c478272_g1	"Lipid transport and metabolism"
c469408_g6	"Replication, recombination and repair"
c404727_g1	"Posttranslational modification, protein turnover, chaperones"
c467713_g3	"Signal transduction mechanisms"
c438410_g1	"Energy production and conversion"
c457234_g1	"Replication, recombination and repair"
c479895_g3	"NA"
c459902_g1	"RNA processing and modification"
c476601_g1	"Cell cycle control, cell division, chromosome partitioning"
c468133_g1	"RNA processing and modification"
c479608_g2	"Energy production and conversion"
c476888_g2	"Signal transduction mechanisms"
c465010_g1	"Posttranslational modification, protein turnover, chaperones"
c466460_g1	"Posttranslational modification, protein turnover, chaperones"
c478525_g3	"Cell wall/membrane/envelope biogenesis"
c477295_g3	"Replication, recombination and repair"
c471608_g2	"RNA processing and modification"
c456665_g1	"RNA processing and modification"
c442701_g1	"Coenzyme transport and metabolism"
c470845_g1	"Posttranslational modification, protein turnover, chaperones"
c413865_g1	"RNA processing and modification"
c468190_g1	"Transcription"
c474025_g13	"Lipid transport and metabolism"
c478392_g1	"Signal transduction mechanisms"
c474940_g2	"Signal transduction mechanisms"
c475587_g2	"Signal transduction mechanisms"
c461446_g1	"Posttranslational modification, protein turnover, chaperones"
c463040_g1	"NA"
c398018_g1	"Signal transduction mechanisms"
c89963_g1	"Amino acid transport and metabolism"
c415772_g1	"Signal transduction mechanisms"
c477701_g2	"Defense mechanisms"
c473666_g2	"Carbohydrate transport and metabolism"
c470364_g1	"Amino acid transport and metabolism"
c465884_g1	"Energy production and conversion"
c426861_g1	"Amino acid transport and metabolism"
c473601_g3	"Amino acid transport and metabolism"
c466525_g4	"Replication, recombination and repair"
c470584_g1	"Energy production and conversion"
c470410_g1	"Energy production and conversion"
c474618_g4	"RNA processing and modification"
c474348_g2	"Translation, ribosomal structure and biogenesis"
c464586_g1	"Defense mechanisms"
c467837_g3	"Replication, recombination and repair"
c463494_g3	"NA"
c467123_g2	"Signal transduction mechanisms"
c468463_g3	"Amino acid transport and metabolism"
c468994_g1	"Signal transduction mechanisms"
c375175_g1	"Cell cycle control, cell division, chromosome partitioning"
c468420_g1	"Carbohydrate transport and metabolism"
c469009_g1	"Transcription"
c622334_g1	"Intracellular trafficking, secretion, and vesicular transport"
c474490_g2	"NA"
c473792_g1	"Amino acid transport and metabolism"
c461632_g1	"Energy production and conversion"
c478043_g2	"Posttranslational modification, protein turnover, chaperones"
c454770_g1	"Signal transduction mechanisms"
c480532_g1	"NA"
c476737_g1	"Transcription"
c480172_g1	"Inorganic ion transport and metabolism"
c466257_g2	"Intracellular trafficking, secretion, and vesicular transport"
c456044_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c473001_g1	"Carbohydrate transport and metabolism"
c472852_g1	"Transcription"
c473311_g1	"Coenzyme transport and metabolism"
c432926_g1	"Cell cycle control, cell division, chromosome partitioning"
c479749_g3	"Amino acid transport and metabolism"
c445551_g1	"Translation, ribosomal structure and biogenesis"
c466646_g1	"Translation, ribosomal structure and biogenesis"
c452067_g1	"Posttranslational modification, protein turnover, chaperones"
c407508_g3	"Posttranslational modification, protein turnover, chaperones"
c395349_g1	"Amino acid transport and metabolism"
c479868_g5	"Posttranslational modification, protein turnover, chaperones"
c434116_g1	"Cytoskeleton"
c459921_g2	"Coenzyme transport and metabolism"
c474090_g3	"Signal transduction mechanisms"
c478078_g6	"NA"
c448705_g1	"Transcription"
c366670_g1	"NA"
c425516_g1	"Cytoskeleton"
c475606_g2	"Transcription"
c411913_g1	"Intracellular trafficking, secretion, and vesicular transport"
c464653_g1	"NA"
c447873_g1	"Transcription"
c431450_g1	"Energy production and conversion"
c477362_g5	"Lipid transport and metabolism"
c481359_g2	"Replication, recombination and repair"
c474190_g2	"RNA processing and modification"
c478110_g2	"Chromatin structure and dynamics"
c460448_g1	"Signal transduction mechanisms"
c464107_g1	"Posttranslational modification, protein turnover, chaperones"
c471647_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476532_g3	"Amino acid transport and metabolism"
c474604_g1	"Transcription"
c435536_g1	"Signal transduction mechanisms"
c467730_g1	"Intracellular trafficking, secretion, and vesicular transport"
c474444_g1	"Replication, recombination and repair"
c466023_g1	"Signal transduction mechanisms"
c459090_g3	"Replication, recombination and repair"
c410840_g1	"Transcription"
c472089_g2	"Chromatin structure and dynamics"
c211322_g1	"Translation, ribosomal structure and biogenesis"
c434872_g1	"Posttranslational modification, protein turnover, chaperones"
c464712_g2	"NA"
c479338_g6	"NA"
c480052_g1	"NA"
c475304_g2	"Lipid transport and metabolism"
c473860_g1	"Signal transduction mechanisms"
c455963_g3	"Amino acid transport and metabolism"
c469054_g1	"Lipid transport and metabolism"
c460942_g4	"Nucleotide transport and metabolism"
c470967_g1	"Replication, recombination and repair"
c471526_g1	"Signal transduction mechanisms"
c472911_g1	"Posttranslational modification, protein turnover, chaperones"
c475951_g4	"Replication, recombination and repair"
c477167_g1	"Translation, ribosomal structure and biogenesis"
c469809_g3	"Replication, recombination and repair"
c59890_g1	"Posttranslational modification, protein turnover, chaperones"
c476892_g11	"Energy production and conversion"
c463333_g1	"Replication, recombination and repair"
c473720_g1	"Replication, recombination and repair"
c469920_g2	"Lipid transport and metabolism"
c475152_g1	"Energy production and conversion"
c468012_g3	"Signal transduction mechanisms"
c451308_g1	"Replication, recombination and repair"
c432969_g2	"Amino acid transport and metabolism"
c467052_g2	"Amino acid transport and metabolism"
c463145_g1	"Posttranslational modification, protein turnover, chaperones"
c460586_g1	"Cell wall/membrane/envelope biogenesis"
c465974_g1	"Intracellular trafficking, secretion, and vesicular transport"
c478589_g2	"Replication, recombination and repair"
c334945_g1	"Cytoskeleton"
c451711_g1	"Cytoskeleton"
c356594_g1	"Energy production and conversion"
c468387_g6	"Posttranslational modification, protein turnover, chaperones"
c464451_g2	"Replication, recombination and repair"
c471925_g3	"Replication, recombination and repair"
c477252_g1	"Carbohydrate transport and metabolism"
c481314_g3	"Replication, recombination and repair"
c472852_g1	"Transcription"
c472576_g4	"Amino acid transport and metabolism"
c410226_g1	"Chromatin structure and dynamics"
c477076_g1	"Posttranslational modification, protein turnover, chaperones"
c472494_g2	"Carbohydrate transport and metabolism"
c463945_g1	"Lipid transport and metabolism"
c466530_g1	"Signal transduction mechanisms"
c477295_g3	"Replication, recombination and repair"
c462885_g1	"Translation, ribosomal structure and biogenesis"
c432749_g1	"RNA processing and modification"
c476422_g2	"Replication, recombination and repair"
c456708_g1	"Energy production and conversion"
c474689_g1	"Transcription"
c478604_g1	"Transcription"
c443517_g1	"Transcription"
c443358_g1	"Transcription"
c453707_g1	"NA"
c464168_g17	"Amino acid transport and metabolism"
c343311_g1	"Nucleotide transport and metabolism"
c470809_g1	"Posttranslational modification, protein turnover, chaperones"
c475837_g1	"Chromatin structure and dynamics"
c452613_g1	"Signal transduction mechanisms"
c459752_g1	"Posttranslational modification, protein turnover, chaperones"
c445300_g1	"Replication, recombination and repair"
c475850_g2	"Translation, ribosomal structure and biogenesis"
c450433_g1	"Amino acid transport and metabolism"
c456355_g1	"NA"
c474868_g1	"Nucleotide transport and metabolism"
c471001_g1	"Translation, ribosomal structure and biogenesis"
c477224_g7	"NA"
c469776_g5	"Lipid transport and metabolism"
c478464_g1	"Amino acid transport and metabolism"
c330043_g1	"Lipid transport and metabolism"
c442826_g1	"NA"
c453177_g1	"Translation, ribosomal structure and biogenesis"
c459961_g1	"Carbohydrate transport and metabolism"
c474538_g1	"Replication, recombination and repair"
c480480_g3	"Intracellular trafficking, secretion, and vesicular transport"
c469283_g1	"RNA processing and modification"
c476888_g2	"Signal transduction mechanisms"
c465941_g1	"Transcription"
c411869_g1	"Intracellular trafficking, secretion, and vesicular transport"
c448628_g2	"NA"
c434950_g1	"Transcription"
c393772_g1	"NA"
c470653_g4	"NA"
c443796_g1	"RNA processing and modification"
c431185_g1	"Posttranslational modification, protein turnover, chaperones"
c455088_g1	"NA"
c451973_g5	"Posttranslational modification, protein turnover, chaperones"
c377497_g1	"Amino acid transport and metabolism"
c464206_g1	"Signal transduction mechanisms"
c440822_g1	"Intracellular trafficking, secretion, and vesicular transport"
c479929_g4	"Nucleotide transport and metabolism"
c458462_g3	"Cytoskeleton"
c437082_g1	"Signal transduction mechanisms"
c460136_g1	"Carbohydrate transport and metabolism"
c460351_g2	"Signal transduction mechanisms"
c473538_g1	"Replication, recombination and repair"
c454662_g1	"Signal transduction mechanisms"
c455356_g1	"Transcription"
c457246_g1	"Posttranslational modification, protein turnover, chaperones"
c444848_g1	"Lipid transport and metabolism"
c468832_g1	"Transcription"
c472428_g1	"Chromatin structure and dynamics"
c470654_g1	"Signal transduction mechanisms"
c461538_g1	"Amino acid transport and metabolism"
c448377_g1	"Cell wall/membrane/envelope biogenesis"
c424968_g2	"Intracellular trafficking, secretion, and vesicular transport"
c462905_g2	"Cell cycle control, cell division, chromosome partitioning"
c467041_g3	"Replication, recombination and repair"
c476378_g7	"NA"
c460143_g1	"Inorganic ion transport and metabolism"
c477991_g5	"Replication, recombination and repair"
c476378_g6	"Coenzyme transport and metabolism"
c466400_g3	"Signal transduction mechanisms"
c429498_g1	"Chromatin structure and dynamics"
c447273_g2	"NA"
c431864_g1	"RNA processing and modification"
c395912_g1	"Signal transduction mechanisms"
c395019_g1	"Chromatin structure and dynamics"
c466409_g3	"Secondary metabolites biosynthesis, transport and catabolism"
c476206_g1	"NA"
c468868_g5	"Replication, recombination and repair"
c474318_g1	"Replication, recombination and repair"
c479912_g3	"Amino acid transport and metabolism"
c438713_g2	"Replication, recombination and repair"
c436435_g1	"Transcription"
c454770_g1	"Signal transduction mechanisms"
c455482_g1	"Posttranslational modification, protein turnover, chaperones"
c427017_g1	"Amino acid transport and metabolism"
c479620_g1	"Transcription"
c462028_g1	"Signal transduction mechanisms"
c404979_g1	"Cell cycle control, cell division, chromosome partitioning"
c480406_g1	"Cell cycle control, cell division, chromosome partitioning"
c471466_g2	"RNA processing and modification"
c62219_g1	"RNA processing and modification"
c459794_g2	"Carbohydrate transport and metabolism"
c458634_g1	"NA"
c356084_g1	"Energy production and conversion"
c462122_g2	"Signal transduction mechanisms"
c478985_g3	"Cell cycle control, cell division, chromosome partitioning"
c475320_g1	"Lipid transport and metabolism"
c479708_g3	"Signal transduction mechanisms"
c472490_g2	"RNA processing and modification"
c371308_g1	"RNA processing and modification"
c430954_g1	"Extracellular structures"
c478787_g1	"Transcription"
c479170_g1	"Energy production and conversion"
c478579_g9	"Amino acid transport and metabolism"
c445398_g1	"Replication, recombination and repair"
c478103_g1	"Translation, ribosomal structure and biogenesis"
c461461_g1	"RNA processing and modification"
c467562_g3	"Posttranslational modification, protein turnover, chaperones"
c477419_g1	"Lipid transport and metabolism"
c474209_g1	"Posttranslational modification, protein turnover, chaperones"
c432727_g1	"Lipid transport and metabolism"
c471686_g1	"NA"
c451886_g3	"Replication, recombination and repair"
c467137_g1	"Replication, recombination and repair"
c450458_g1	"Posttranslational modification, protein turnover, chaperones"
c457343_g1	"Signal transduction mechanisms"
c463481_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476663_g1	"Replication, recombination and repair"
c474420_g5	"Carbohydrate transport and metabolism"
c439696_g1	"NA"
c455088_g1	"Posttranslational modification, protein turnover, chaperones"
c342900_g1	"Intracellular trafficking, secretion, and vesicular transport"
c384182_g1	"Carbohydrate transport and metabolism"
c465380_g4	"NA"
c466023_g1	"Signal transduction mechanisms"
c457111_g1	"Signal transduction mechanisms"
c453468_g2	"RNA processing and modification"
c479229_g3	"Cell wall/membrane/envelope biogenesis"
c409478_g1	"Extracellular structures"
c465775_g12	"NA"
c480896_g1	"Amino acid transport and metabolism"
c478923_g1	"Amino acid transport and metabolism"
c476018_g1	"Energy production and conversion"
c469939_g1	"Cell cycle control, cell division, chromosome partitioning"
c469483_g2	"Translation, ribosomal structure and biogenesis"
c472043_g2	"Posttranslational modification, protein turnover, chaperones"
c465040_g1	"Carbohydrate transport and metabolism"
c471502_g3	"Coenzyme transport and metabolism"
c472510_g12	"Replication, recombination and repair"
c470653_g3	"NA"
c622879_g1	"RNA processing and modification"
c462492_g1	"Signal transduction mechanisms"
c474998_g1	"Signal transduction mechanisms"
c481375_g7	"Replication, recombination and repair"
c463086_g1	"Transcription"
c465382_g1	"Chromatin structure and dynamics"
c475193_g2	"Replication, recombination and repair"
c469002_g5	"Signal transduction mechanisms"
c475529_g7	"NA"
c475588_g2	"Signal transduction mechanisms"
c451711_g1	"Cytoskeleton"
c479531_g1	"NA"
c445389_g1	"Cytoskeleton"
c473621_g5	"Cell wall/membrane/envelope biogenesis"
c468190_g1	"Transcription"
c479488_g2	"Signal transduction mechanisms"
c466662_g2	"Amino acid transport and metabolism"
c479606_g5	"Posttranslational modification, protein turnover, chaperones"
c464955_g4	"Energy production and conversion"
c423800_g1	"Carbohydrate transport and metabolism"
c763727_g1	"NA"
c474951_g1	"Signal transduction mechanisms"
c474444_g1	"Replication, recombination and repair"
c474992_g1	"Replication, recombination and repair"
c470846_g2	"NA"
c472661_g1	"Cytoskeleton"
c441951_g5	"Lipid transport and metabolism"
c480134_g3	"Transcription"
c372650_g1	"NA"
c424803_g1	"Translation, ribosomal structure and biogenesis"
c478994_g1	"Transcription"
c474793_g1	"Extracellular structures"
c466190_g1	"Transcription"
c440230_g1	"Lipid transport and metabolism"
c461493_g1	"RNA processing and modification"
c451663_g1	"Lipid transport and metabolism"
c473855_g15	"Transcription"
c458000_g1	"Lipid transport and metabolism"
c465192_g1	"Signal transduction mechanisms"
c476813_g2	"Replication, recombination and repair"
c480640_g5	"Translation, ribosomal structure and biogenesis"
c477763_g1	"Coenzyme transport and metabolism"
c469234_g1	"Energy production and conversion"
c452665_g1	"Lipid transport and metabolism"
c479859_g2	"NA"
c476064_g2	"Replication, recombination and repair"
c466998_g11	"Replication, recombination and repair"
c475049_g1	"Energy production and conversion"
c451812_g2	"Cytoskeleton"
c465362_g2	"Chromatin structure and dynamics"
c479620_g1	"Transcription"
c479834_g1	"Replication, recombination and repair"
c469511_g1	"Cytoskeleton"
c435475_g1	"Amino acid transport and metabolism"
c478870_g2	"Carbohydrate transport and metabolism"
c413266_g1	"Posttranslational modification, protein turnover, chaperones"
c372131_g1	"Intracellular trafficking, secretion, and vesicular transport"
c475584_g1	"NA"
c452682_g1	"RNA processing and modification"
c452967_g1	"RNA processing and modification"
c476997_g2	"Replication, recombination and repair"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c458365_g1	"Signal transduction mechanisms"
c454035_g2	"Transcription"
c467003_g3	"Transcription"
c424398_g1	"Cytoskeleton"
c472090_g1	"NA"
c454634_g1	"Carbohydrate transport and metabolism"
c469591_g1	"NA"
c475588_g2	"Signal transduction mechanisms"
c459790_g1	"Amino acid transport and metabolism"
c288841_g1	"Transcription"
c452236_g5	"Intracellular trafficking, secretion, and vesicular transport"
c465052_g1	"Transcription"
c474533_g1	"Signal transduction mechanisms"
c458610_g1	"Posttranslational modification, protein turnover, chaperones"
c454506_g1	"Signal transduction mechanisms"
c41267_g1	"Signal transduction mechanisms"
c452527_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c472045_g1	"Replication, recombination and repair"
c472466_g1	"RNA processing and modification"
c446809_g4	"Replication, recombination and repair"
c461250_g1	"Signal transduction mechanisms"
c455983_g1	"RNA processing and modification"
c324914_g1	"Signal transduction mechanisms"
c472499_g1	"Translation, ribosomal structure and biogenesis"
c396087_g1	"Nucleotide transport and metabolism"
c478768_g3	"Posttranslational modification, protein turnover, chaperones"
c392680_g1	"Transcription"
c460636_g9	"NA"
c473535_g2	"Energy production and conversion"
c455284_g1	"Amino acid transport and metabolism"
c456296_g1	"Inorganic ion transport and metabolism"
c406436_g1	"Signal transduction mechanisms"
c477694_g4	"Carbohydrate transport and metabolism"
c456525_g1	"Transcription"
c449564_g1	"NA"
c457343_g1	"Signal transduction mechanisms"
c456218_g1	"Lipid transport and metabolism"
c440658_g1	"RNA processing and modification"
c475663_g1	"Lipid transport and metabolism"
c367228_g1	"Amino acid transport and metabolism"
c480299_g1	"Energy production and conversion"
c459720_g1	"Carbohydrate transport and metabolism"
c465232_g3	"Lipid transport and metabolism"
c448660_g1	"Replication, recombination and repair"
c477519_g1	"Transcription"
c479831_g5	"Transcription"
c478404_g2	"NA"
c475627_g2	"Energy production and conversion"
c404415_g1	"Cell wall/membrane/envelope biogenesis"
c443029_g2	"Signal transduction mechanisms"
c469965_g3	"Replication, recombination and repair"
c447428_g1	"Translation, ribosomal structure and biogenesis"
c466031_g1	"Signal transduction mechanisms"
c280064_g1	"Energy production and conversion"
c449093_g2	"Amino acid transport and metabolism"
c464553_g1	"Replication, recombination and repair"
c465561_g1	"Signal transduction mechanisms"
c479042_g6	"Secondary metabolites biosynthesis, transport and catabolism"
c377444_g1	"Replication, recombination and repair"
c479311_g2	"Chromatin structure and dynamics"
c455820_g1	"Signal transduction mechanisms"
c479873_g1	"Signal transduction mechanisms"
c436484_g1	"Transcription"
c451654_g1	"Replication, recombination and repair"
c479355_g2	"Nucleotide transport and metabolism"
c474145_g1	"Intracellular trafficking, secretion, and vesicular transport"
c402260_g1	"Defense mechanisms"
c449631_g1	"Energy production and conversion"
c481307_g2	"Translation, ribosomal structure and biogenesis"
c471611_g4	"Replication, recombination and repair"
c476781_g1	"Cell cycle control, cell division, chromosome partitioning"
c460201_g2	"Amino acid transport and metabolism"
c470741_g1	"Signal transduction mechanisms"
c460818_g1	"Replication, recombination and repair"
c479933_g2	"Transcription"
c473185_g1	"RNA processing and modification"
c474914_g1	"Carbohydrate transport and metabolism"
c468944_g1	"Signal transduction mechanisms"
c471116_g1	"NA"
c478519_g1	"Amino acid transport and metabolism"
c470107_g1	"Posttranslational modification, protein turnover, chaperones"
c473886_g4	"Signal transduction mechanisms"
c478030_g1	"Lipid transport and metabolism"
c455859_g1	"Signal transduction mechanisms"
c456510_g1	"Intracellular trafficking, secretion, and vesicular transport"
c446114_g1	"Carbohydrate transport and metabolism"
c474833_g5	"Replication, recombination and repair"
c471640_g1	"Translation, ribosomal structure and biogenesis"
c391198_g1	"Signal transduction mechanisms"
c407767_g2	"Intracellular trafficking, secretion, and vesicular transport"
c458471_g1	"RNA processing and modification"
c467387_g1	"Signal transduction mechanisms"
c471640_g1	"Translation, ribosomal structure and biogenesis"
c466819_g1	"Intracellular trafficking, secretion, and vesicular transport"
c481257_g1	"Translation, ribosomal structure and biogenesis"
c460492_g2	"Chromatin structure and dynamics"
c424379_g1	"Cytoskeleton"
c477363_g1	"Energy production and conversion"
c405434_g1	"Replication, recombination and repair"
c479115_g1	"Transcription"
c458253_g1	"Translation, ribosomal structure and biogenesis"
c472955_g1	"Cytoskeleton"
c475972_g1	"Cell cycle control, cell division, chromosome partitioning"
c423394_g1	"Translation, ribosomal structure and biogenesis"
c438695_g1	"Signal transduction mechanisms"
c478086_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c443548_g1	"Posttranslational modification, protein turnover, chaperones"
c467583_g2	"NA"
c480759_g2	"Cytoskeleton"
c465121_g1	"Coenzyme transport and metabolism"
c464623_g1	"Replication, recombination and repair"
c469774_g1	"NA"
c476755_g3	"Posttranslational modification, protein turnover, chaperones"
c344893_g1	"Extracellular structures"
c326375_g1	"Translation, ribosomal structure and biogenesis"
c461334_g1	"Transcription"
c466460_g1	"Posttranslational modification, protein turnover, chaperones"
c459378_g1	"RNA processing and modification"
c433711_g1	"Intracellular trafficking, secretion, and vesicular transport"
c471417_g2	"Posttranslational modification, protein turnover, chaperones"
c478141_g2	"Secondary metabolites biosynthesis, transport and catabolism"
c473852_g15	"NA"
c438979_g3	"Defense mechanisms"
c476479_g2	"NA"
c456112_g1	"Carbohydrate transport and metabolism"
c478827_g3	"Signal transduction mechanisms"
c460238_g1	"RNA processing and modification"
c467956_g1	"Signal transduction mechanisms"
c911248_g1	"Signal transduction mechanisms"
c480270_g1	"Amino acid transport and metabolism"
c465914_g2	"Replication, recombination and repair"
c452305_g1	"Intracellular trafficking, secretion, and vesicular transport"
c480964_g2	"Carbohydrate transport and metabolism"
c465200_g1	"Carbohydrate transport and metabolism"
c1187401_g1	"NA"
c465039_g2	"Posttranslational modification, protein turnover, chaperones"
c469247_g1	"Defense mechanisms"
c469967_g1	"Carbohydrate transport and metabolism"
c458693_g1	"Amino acid transport and metabolism"
c469421_g2	"NA"
c365662_g1	"Signal transduction mechanisms"
c455555_g1	"Carbohydrate transport and metabolism"
c466228_g2	"Replication, recombination and repair"
c453438_g1	"Replication, recombination and repair"
c455143_g1	"Amino acid transport and metabolism"
c461609_g2	"Transcription"
c411655_g2	"Signal transduction mechanisms"
c450761_g2	"Lipid transport and metabolism"
c436855_g1	"Cytoskeleton"
c474970_g3	"Cytoskeleton"
c426780_g1	"Signal transduction mechanisms"
c430815_g1	"Nucleotide transport and metabolism"
c476246_g4	"Signal transduction mechanisms"
c457391_g1	"Carbohydrate transport and metabolism"
c480177_g3	"Amino acid transport and metabolism"
c468056_g1	"Signal transduction mechanisms"
c450089_g2	"Amino acid transport and metabolism"
c481292_g2	"Lipid transport and metabolism"
c474074_g3	"Lipid transport and metabolism"
c471140_g1	"Posttranslational modification, protein turnover, chaperones"
c455299_g4	"Translation, ribosomal structure and biogenesis"
c470193_g1	"Replication, recombination and repair"
c472175_g8	"Signal transduction mechanisms"
c466852_g1	"Signal transduction mechanisms"
c470790_g1	"NA"
c445708_g2	"Secondary metabolites biosynthesis, transport and catabolism"
c477931_g3	"RNA processing and modification"
c477520_g1	"Posttranslational modification, protein turnover, chaperones"
c480790_g2	"NA"
c427006_g1	"RNA processing and modification"
c474951_g1	"Signal transduction mechanisms"
c466886_g1	"Intracellular trafficking, secretion, and vesicular transport"
c470085_g1	"Signal transduction mechanisms"
c451021_g1	"Amino acid transport and metabolism"
c475147_g1	"Signal transduction mechanisms"
c475587_g2	"Signal transduction mechanisms"
c479311_g2	"NA"
c478043_g2	"Posttranslational modification, protein turnover, chaperones"
c256368_g1	"Translation, ribosomal structure and biogenesis"
c469321_g2	"NA"
c470859_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476298_g4	"Transcription"
c480797_g4	"Transcription"
c480693_g1	"Signal transduction mechanisms"
c440860_g1	"Transcription"
c472089_g2	"Chromatin structure and dynamics"
c449110_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c422768_g1	"Translation, ribosomal structure and biogenesis"
c477485_g4	"NA"
c473553_g3	"Intracellular trafficking, secretion, and vesicular transport"
c474616_g5	"Replication, recombination and repair"
c469879_g1	"Signal transduction mechanisms"
c473662_g1	"Energy production and conversion"
c475957_g4	"NA"
c456263_g1	"RNA processing and modification"
c455284_g1	"Amino acid transport and metabolism"
c469319_g1	"Posttranslational modification, protein turnover, chaperones"
c473107_g1	"Posttranslational modification, protein turnover, chaperones"
c428928_g1	"RNA processing and modification"
c415988_g3	"Signal transduction mechanisms"
c455723_g1	"Replication, recombination and repair"
